"","feature","enrich_group","ef_lda","pvalue","padj"
"marker81","k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae","Healthy",2.93553464744076,0.0286385112727044,0.0286385112727044
"marker82","k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales","Healthy",2.93477599129735,0.0286385112727044,0.0286385112727044
"marker83","k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia muciniphila","Healthy",2.9346714625711,0.0286385112727044,0.0286385112727044
"marker84","k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia","Healthy",2.93461615552105,0.0286385112727044,0.0286385112727044
"marker85","k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae","Healthy",2.93351697117829,0.0286385112727044,0.0286385112727044
"marker86","k__Bacteria|p__Tenericutes|c__Erysipelotrichi|o__Erysipelotrichi_Erysipelotrichales|f__Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae|g__Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_g__|s__Eubacterium cylindroides","Healthy",2.92134812201018,0.0062525242029193,0.0062525242029193
"marker87","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XIII. Incertae Sedis|g__Clostridiales Family XIII. Incertae Sedis_g__","Healthy",2.86583288208441,0.0287809537366089,0.0287809537366089
"marker88","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales Family XIII. Incertae Sedis|g__Clostridiales Family XIII. Incertae Sedis_g__|s__Clostridiales Family XIII. Incertae Sedis_g___s__","Healthy",2.86583288208441,0.0287809537366089,0.0287809537366089
"marker89","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_Clostridium|s__Ruminococcaceae_Clostridium_s__","Healthy",2.82530267656714,0.00176474331616522,0.00176474331616522
"marker90","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia producta","Healthy",2.79963989886116,0.000579325363126598,0.000579325363126598
"marker91","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales","Healthy",2.61804122279512,0.0169740422443364,0.0169740422443364
"marker92","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae","Healthy",2.61804122279512,0.0169740422443364,0.0169740422443364
"marker93","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria","Healthy",2.6167974653818,0.0181039100641561,0.0181039100641561
"marker94","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Rikenellaceae_g__|s__Rikenellaceae_g___s__","Healthy",2.52470475016911,0.00332102240026278,0.00332102240026278
"marker95","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Rikenellaceae_g__","Healthy",2.52135819582892,0.00332102240026278,0.00332102240026278
"marker96","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_Clostridium|s__Clostridium orbiscindens","Healthy",2.41793480231685,0.00154030694479204,0.00154030694479204
"marker97","k__Bacteria|p__Tenericutes|c__ML615J-28|o__ML615J-28_o__|f__ML615J-28_o___f__|g__ML615J-28_o___f___g__|s__ML615J-28_o___f___g___s__","Healthy",2.37409497761202,0.0362000078413472,0.0362000078413472
"marker98","k__Bacteria|p__Tenericutes|c__ML615J-28|o__ML615J-28_o__|f__ML615J-28_o___f__|g__ML615J-28_o___f___g__","Healthy",2.37150965074498,0.0362000078413472,0.0362000078413472
"marker99","k__Bacteria|p__Tenericutes|c__ML615J-28","Healthy",2.3693242388851,0.0362000078413472,0.0362000078413472
"marker100","k__Bacteria|p__Actinobacteria|c__Actinobacteria (class)|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella lenta","Healthy",2.36282074127325,0.00218429602488924,0.00218429602488924
"marker101","k__Bacteria|p__Tenericutes|c__ML615J-28|o__ML615J-28_o__|f__ML615J-28_o___f__","Healthy",2.36167879666517,0.0362000078413472,0.0362000078413472
"marker102","k__Bacteria|p__Actinobacteria|c__Actinobacteria (class)|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella","Healthy",2.36065400674421,0.00218429602488924,0.00218429602488924
"marker103","k__Bacteria|p__Tenericutes|c__ML615J-28|o__ML615J-28_o__","Healthy",2.35782286492657,0.0362000078413472,0.0362000078413472
"marker104","k__Bacteria|p__Actinobacteria|c__Actinobacteria (class)|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium longum","Healthy",2.319761840506,0.0265712904380644,0.0265712904380644
"marker105","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila","Healthy",2.24181115379685,0.0066365395338333,0.0066365395338333
"marker106","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila wadsworthia","Healthy",2.2367011971546,0.0066365395338333,0.0066365395338333
"marker107","k__Bacteria|p__Actinobacteria|c__Actinobacteria (class)|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia","Healthy",2.12791411296681,0.00312451982004172,0.00312451982004172
"marker108","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Epulopiscium","Healthy",2.11969911681185,0.0128950289584259,0.0128950289584259
"marker109","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Epulopiscium|s__Epulopiscium_s__","Healthy",2.11434889361684,0.0128950289584259,0.0128950289584259
"marker110","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Peptococcaceae_g__|s__Peptococcaceae_g___s__","Healthy",2.06238884469928,0.0190126313030863,0.0190126313030863
"marker111","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Peptococcaceae_g__","Healthy",2.05997428535927,0.0190126313030863,0.0190126313030863
"marker112","k__Bacteria|p__Actinobacteria|c__Actinobacteria (class)|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia_s__","Healthy",2.0382445029923,0.0131266122916044,0.0131266122916044
"marker113","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium prausnitzii","Healthy",2.01657467319356,8.97299752809333e-05,8.97299752809333e-05
"marker114","k__Bacteria|p__Tenericutes|c__Erysipelotrichi|o__Erysipelotrichi_Erysipelotrichales|f__Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae|g__Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_g__|s__MLG480","Healthy",1.98154532795432,0.00646828635763921,0.00646828635763921
"marker115","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus","Healthy",1.96186140853474,0.0291395650389937,0.0291395650389937
"marker116","k__Bacteria|p__Actinobacteria|c__Actinobacteria (class)|o__Coriobacteriales|f__Coriobacteriales_f__|g__Coriobacteriales_f___g__|s__Coriobacteriales_f___g___s__","Healthy",1.95885998153774,0.0108506092401291,0.0108506092401291
"marker117","k__Bacteria|p__Actinobacteria|c__Actinobacteria (class)|o__Coriobacteriales|f__Coriobacteriales_f__","Healthy",1.95505305780243,0.0108506092401291,0.0108506092401291
"marker118","k__Bacteria|p__Actinobacteria|c__Actinobacteria (class)|o__Coriobacteriales|f__Coriobacteriales_f__|g__Coriobacteriales_f___g__","Healthy",1.95239935116159,0.0108506092401291,0.0108506092401291
"marker119","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter","Healthy",1.9446172298317,0.0272649863345549,0.0272649863345549
"marker120","k__Bacteria|p__Tenericutes|c__Erysipelotrichi|o__Erysipelotrichi_Erysipelotrichales|f__Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae|g__Holdemania|s__Holdemania_s__","Healthy",1.93629367545493,0.00512409374492459,0.00512409374492459
"marker121","k__Bacteria|p__Tenericutes|c__Erysipelotrichi|o__Erysipelotrichi_Erysipelotrichales|f__Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae|g__Holdemania","Healthy",1.93428254434315,0.00512409374492459,0.00512409374492459
"marker122","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter hormaechei","Healthy",1.87791698528263,0.0318915358446231,0.0318915358446231
"marker123","k__Bacteria|p__Actinobacteria|c__Actinobacteria (class)|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia|s__Slackia exigua","Healthy",1.67206113825872,0.0419432604810856,0.0419432604810856
"marker124","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium","Healthy",1.56798613586803,0.0498902117347505,0.0498902117347505
"marker125","k__Bacteria|p__Fusobacteria","Tumor",5.08410837030114,1.05419774140422e-05,1.05419774140422e-05
"marker126","k__Bacteria|p__Fusobacteria|c__Fusobacteria (class)","Tumor",5.08410837030114,1.05419774140422e-05,1.05419774140422e-05
"marker127","k__Bacteria|p__Fusobacteria|c__Fusobacteria (class)|o__Fusobacteriales","Tumor",5.08410837030114,1.05419774140422e-05,1.05419774140422e-05
"marker128","k__Bacteria|p__Fusobacteria|c__Fusobacteria (class)|o__Fusobacteriales|f__Fusobacteriaceae","Tumor",5.08410837030114,1.05419774140422e-05,1.05419774140422e-05
"marker129","k__Bacteria|p__Fusobacteria|c__Fusobacteria (class)|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium","Tumor",5.01911936541545,2.66581803772201e-05,2.66581803772201e-05
"marker130","k__Bacteria|p__Fusobacteria|c__Fusobacteria (class)|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_s__","Tumor",4.87741194600686,4.07085628415897e-05,4.07085628415897e-05
"marker131","k__Bacteria|p__Fusobacteria|c__Fusobacteria (class)|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium necrophorum","Tumor",4.46446271183171,0.00875020725432058,0.00875020725432058
"marker132","k__Bacteria|p__Fusobacteria|c__Fusobacteria (class)|o__Fusobacteriales|f__Fusobacteriaceae|g__Leptotrichia","Tumor",4.22057341168103,0.0220136339147023,0.0220136339147023
"marker133","k__Bacteria|p__Firmicutes|c__Bacilli","Tumor",4.11522555076054,0.0372977734037681,0.0372977734037681
"marker134","k__Bacteria|p__Fusobacteria|c__Fusobacteria (class)|o__Fusobacteriales|f__Fusobacteriaceae|g__Leptotrichia|s__Leptotrichia trevisanii","Tumor",4.09513392224033,0.0347378737090483,0.0347378737090483
"marker135","k__Bacteria","Tumor",3.89446951344619,0.0498902117347505,0.0498902117347505
"marker136","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Selenomonas","Tumor",3.62791736129879,0.0485298231592428,0.0485298231592428
"marker137","k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae","Tumor",3.58889287175245,0.000716587051563724,0.000716587051563724
"marker138","k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria","Tumor",3.5887060330093,0.000716587051563724,0.000716587051563724
"marker139","k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales","Tumor",3.58849394809972,0.000716587051563724,0.000716587051563724
"marker140","k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter","Tumor",3.58793185387844,0.00127855203950544,0.00127855203950544
"marker141","k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Bacteroides ureolyticus","Tumor",2.98677850222607,0.0447715183564748,0.0447715183564748
"marker142","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Salmonella|s__Salmonella bongori","Tumor",2.75418294904353,0.030995270305571,0.030995270305571
"marker143","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Salmonella","Tumor",2.74781739392455,0.030995270305571,0.030995270305571
"marker144","k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter rectus","Tumor",2.70332016780047,0.00135406103977602,0.00135406103977602
"marker145","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_f__","Tumor",2.5403578819462,0.0115786039464714,0.0115786039464714
"marker146","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Peptococcus","Tumor",2.46401245588359,0.0376011146927354,0.0376011146927354
"marker147","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Peptococcus|s__Peptococcus_s__","Tumor",2.46298587384214,0.0376011146927354,0.0376011146927354
"marker148","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_f__|g__Paucibacter|s__Paucibacter toxinivorans","Tumor",2.4305458942602,0.0463523144354711,0.0463523144354711
"marker149","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_f__|g__Paucibacter","Tumor",2.42934219446751,0.0463523144354711,0.0463523144354711
"marker150","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae","Tumor",2.42631129013827,0.0213782382418101,0.0213782382418101
"marker151","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium","Tumor",2.42343698307268,0.0213782382418101,0.0213782382418101
"marker152","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae|g__Methylobacterium|s__Methylobacterium_s__","Tumor",2.35819041339387,0.00203844033466736,0.00203844033466736
"marker153","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_s__","Tumor",2.19347328809617,0.025722681355291,0.025722681355291
"marker154","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Actinobacillus|s__Actinobacillus porcinus","Tumor",2.07436756863126,0.0204410159580573,0.0204410159580573
"marker155","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Tetragenococcus","Tumor",1.96704668077113,0.0157559970144916,0.0157559970144916
"marker156","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Tetragenococcus|s__Tetragenococcus_s__","Tumor",1.88733286391495,0.0117740774268645,0.0117740774268645
"marker157","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus phocae","Tumor",1.65190341682352,0.00758429086905801,0.00758429086905801
"marker158","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus pseudopneumoniae","Tumor",1.53674815728504,0.0199951832036525,0.0199951832036525
